message,spamminess,term,word_total,spam_count,spam_auto,bigram_proportion,spam_bigrams
 mm k match,0,,3,0,0,0.0,
 main gk bisa,0,bisa,3,0,0,0.0,
 ttile doang provinsi,0,,3,0,0,0.0,
 main gk bisa,1,bisa,3,0,0,0.0,
 off gw,1,gw,2,0,0,0.0,
 bang,1,bang,1,0,0,0.0,
 mentality kek bocah ngapain diladenin,0,,5,0,0,0.0,
 winstreak terpanjang berapa kali,0,berapa,4,1,0,25.0,an
 rank classic ,0,,2,0,0,0.0,
 rank,0,,1,0,0,0.0,
 damn,1,damn,1,0,0,0.0,
 classic senelum pecah gra mti lmpu,0,,6,0,0,0.0,
 sebelum ,0,,1,0,0,0.0,
 sdh istirahat dlu,0,,3,0,0,0.0,
 anime apa,0,apa,2,0,0,0.0,
 master idol,0,,2,0,0,0.0,
 ancrit ini rill kah ,1,ini,4,0,0,0.0,
 pe wibu,1,,2,0,0,0.0,
 bagi sticker ep ep,1,,4,0,0,0.0,
 null,1,null,1,0,0,0.0,
 pernah main ama orang luar gak ,0,ama orang luar,6,0,0,0.0,
 gw pernah cuman nge lag,0,gw,5,0,0,0.0,
 nggak sih ketemunya ya orang indo pada umumnya,0,sih ya orang pada,8,1,0,12.5,um
 bukan kayak vpn gitu,0,,4,0,0,0.0,
 orang luar kalo main hati hati bet susah buat ngekill nya mati nya palingan ampe atau ,0,orang luar kalo nya nya,16,0,0,0.0,
 oh pakek fake gps buat ngambil leaderboard luar ya ,0,luar ya,9,0,0,0.0,
 tergantung orang luarnya,0,tergantung orang,3,0,0,0.0,
 wkwkwk,1,,1,1,1,100.0,"wk, kw"
 gw ada,0,gw ada,2,0,0,0.0,
 orang australia,0,orang,2,0,0,0.0,
 gw pernah juga pakek fake gps ngambil daerah kyoto jadinya dapet leaderboard yg lumayan tinggi soalnya jarang ada pakek khaleed disono,0,gw juga yg ada,21,0,0,0.0,
 war thunder mobile bagus ga bang,0,ga bang,6,0,0,0.0,
 akuh pindah ke daerah coli di prancis,0,ke di,7,0,0,0.0,
 italia ,0,,1,0,0,0.0,
 bjir nama daerahnya ,0,,3,0,0,0.0,
 damn smp udah beres,0,damn,4,0,0,0.0,
 pengalaman nyata sekolahnya cuma setahun doang berarti sisanya ghoib wkwk,0,,10,1,0,10.0,wk
 selamat menempuh hidup sma bang,0,selamat bang,5,0,0,0.0,
 takut euy,0,,2,0,0,0.0,
 tau tau nnti udh lulus sma lagi,0,udh lagi,7,1,0,14.285714285714285,lu
 yh semoga lancar urusannya,0,semoga,4,0,0,0.0,
 nooooo ,1,,1,1,1,100.0,oo
 halo dad ada apa nih ,1,ada apa,5,0,0,0.0,
 penasaran,1,,1,0,0,0.0,
 hi son,1,,2,0,0,0.0,
 ngapain nikah,0,,2,0,0,0.0,
 enak sehari doang,0,,3,0,0,0.0,
 iyah biar gampang top leaderboardnya,0,,5,0,0,0.0,
 sisanya ngurus anak ketchil sampe gde,0,anak,6,0,0,0.0,
 ke crech republik bang dikit dikit mmrnya,0,ke bang,7,0,0,0.0,
 czech,0,,1,0,0,0.0,
 ehh iyah itu,0,itu,3,0,0,0.0,
 turunin sampe sejuta aja gapapa ,0,aja,5,1,0,20.0,"ap, pa"
 woy ,1,,1,0,0,0.0,
 stay safe sis,0,,3,0,0,0.0,
 oiya lupa,1,,2,0,0,0.0,
 udah safe banget itu,0,itu,4,0,0,0.0,
 waduh turun dikit ,0,,3,0,0,0.0,
 gabut nih,0,,2,0,0,0.0,
 safe apanya jadi superman,1,,4,0,0,0.0,
 ngepump ah,1,,2,0,0,0.0,
 kebawa angin itu,1,itu,3,0,0,0.0,
 bjir ampir terbang wkwk,1,,4,1,0,25.0,wk
 waduh naek dikit ,0,,3,0,0,0.0,
 awas kebablasan kebawa tuhan ntar,1,tuhan,5,0,0,0.0,
 kebawa angin v,0,,3,0,0,0.0,
 galucu lagi gabisa liat kamu nanti ,0,lagi nanti,6,0,0,0.0,
 pantang pulang sebelum terbang,0,,4,1,0,25.0,an
 iy gpp sih ngurusin anak kecil cuman kalo memang mau nikah harus punya persiapan matang klo belum ya sebaiknya jangan gegabah,0,sih anak kalo mau ya,21,1,0,4.761904761904762,an
 itu kamu yg bawak motor ,0,itu yg,5,0,0,0.0,
 ho oh,0,,2,0,0,0.0,
 jelas,1,,1,0,0,0.0,
 plis gw juga mau,0,gw juga mau,4,0,0,0.0,
 beli udah cukup,0,beli,3,0,0,0.0,
 langsung gas beli,0,langsung beli,3,1,0,33.33333333333333,ng
 jual hp dulu gapapa lah ya,0,ya,6,1,0,16.666666666666664,"ap, pa"
 tapi resiko gede juga,0,juga,4,0,0,0.0,
 dari ratusan juta jadi sejuta,0,dari,5,0,0,0.0,
 buoleehh,0,,1,0,0,0.0,
 kemungkinan pasarnya bener bener dah rusak,0,,6,0,0,0.0,
 buset ak jga mw kek gitu wkwk,1,buset,7,1,0,14.285714285714285,wk
 udh kek ga layak jadi invest,0,udh ga,6,0,0,0.0,
 awokaowk,1,,1,0,0,0.0,
 ho oh,1,,2,0,0,0.0,
 ngapain tar jatoh nangis,0,,4,0,0,0.0,
 cuman blm berani wkwk,0,,4,1,0,25.0,wk
 beliau dah pernah jatoh ,0,,4,0,0,0.0,
 lom,1,,1,0,0,0.0,
 gw nyesel ga beli saham pas kemaren,0,gw ga beli,7,0,0,0.0,
 yang kejadian orang orang reddit,0,yang orang orang,5,0,0,0.0,
 buset dah,1,buset,2,0,0,0.0,
 kuat sekali beliau ini,1,ini,4,0,0,0.0,
 saham apple dari sampe ,0,dari,4,0,0,0.0,
 lecet dikit g ngaruh ,0,,4,0,0,0.0,
 pm apa coba keluarnya,0,apa,4,0,0,0.0,
 data kelompok pilihan majemuk lagi anj lah anggota ,0,lagi anggota,8,0,0,0.0,
 hdh,1,,1,0,0,0.0,
 yat,1,,1,0,0,0.0,
 a b c b c a ,0,,6,0,0,0.0,
 ini gw mepet banget ga mikir ancrit,0,ini gw ga,7,0,0,0.0,
 kemaren kan keluarnya kerucut dalam tabung lah balok lah persegi lah baru hari ini dpt kerucut dlem bola,0,baru ini bola,18,0,0,0.0,
 a ,0,,1,0,0,0.0,
 anying sia gw ga inget rumus bola,0,gw ga bola,7,0,0,0.0,
 padahal gw bisa ngerjain tipe soalnya kalo bukan bola,0,gw bisa kalo bola,9,0,0,0.0,
 bisa,0,bisa,1,0,0,0.0,
 gw lupa juga sih ada opsinya ato ngga,0,gw juga sih ada,8,0,0,0.0,
 soalnya opsi a udah ,0,,4,0,0,0.0,
 nah di soal berikutnya ditanya lagi a c di opsi a nya lebih gede semua drpd c,0,di lagi di nya lebih semua,17,0,0,0.0,
 makanan khas palembang,1,,3,1,0,33.33333333333333,an
 zepellion ray clue finisher move,1,clue finisher move,5,0,0,0.0,
 tiga,1,,1,0,0,0.0,
 rule number don t talk about fight club,1,fight club,8,0,0,0.0,
 the second rule of fight club is you do not talk about fight club ,1,the fight club fight club,14,0,0,0.0,
 yoooo,1,,1,1,1,100.0,oo
 udh pasti pulang baru dimainin,0,udh baru,5,1,0,20.0,in
 travel aura clue movement ability,1,clue,5,0,0,0.0,
 gk gk jelek,0,,3,0,0,0.0,
 liquidator clue finisher move,1,clue finisher move,4,0,0,0.0,
 relik asli kampanye ahok,0,asli,4,0,0,0.0,
 agama dinista,0,,2,0,0,0.0,
 al quran dinoda,0,,3,0,0,0.0,
 ulama dihina,0,,2,0,0,0.0,
 akhirnya dipenjara,0,,2,0,0,0.0,
 si ahok durjana,0,,3,0,0,0.0,
 aowwowkwwk,1,,1,1,1,100.0,"wk, ow, ww"
 https www youtube com watch v jgbytk mu,1,https,8,1,0,12.5,ww
 salah lirik,0,,2,0,0,0.0,
 agama dinista al qur an dinoda ulama dihina si ahok durjana,1,,11,0,0,0.0,
 viral ikan menghina,1,,3,0,0,0.0,
 tapi asli ini banger,0,asli ini,4,0,0,0.0,
 dulu sempet sering muter,0,,4,0,0,0.0,
 pas bgt pake lagu katyusha,0,,5,0,0,0.0,
 disini saya mencium aroma aroma vibes part ,0,,7,0,0,0.0,
 oh lagu ,0,,2,0,0,0.0,
 photon edge clue finisher move,1,clue finisher move,5,0,0,0.0,
 heh,1,,1,0,0,0.0,
 sadar,0,,1,0,0,0.0,
 dia masih kecil,0,,3,0,0,0.0,
 arisu doank animenya buat hilang pikiran banyak loli nya ,0,banyak nya,9,0,0,0.0,
 hadeh,1,hadeh,1,0,0,0.0,
 sampai ke bawak mimpi,0,ke,4,0,0,0.0,
 worth ga ya,0,ga ya,3,0,0,0.0,
 dh dihapua,0,,2,0,0,0.0,
 game kontol emg,0,,3,0,0,0.0,
 ahahaha,1,,1,1,1,100.0,"ha, ah"
 jangan solo kalo main bg,0,kalo,5,1,0,20.0,an
 w dari legend ampe milik win streak co,0,dari,8,0,0,0.0,
 dh ampe situ baru winloss ls,0,baru,6,0,0,0.0,
 lebih waras legend daripada mitik,0,lebih,5,1,0,20.0,da
 aowkwo enak bet iri,1,,4,0,0,0.0,
 fr,1,,1,0,0,0.0,
 main di lejen enak,0,di,4,0,0,0.0,
 asli,1,asli,1,0,0,0.0,
 orangnya waras semua,0,semua,3,0,0,0.0,
 pada ngalah,0,pada,2,0,0,0.0,
 musuh nya jg seimbang sampe kdg ezz bnr,0,nya,8,0,0,0.0,
 selamat hidup normal,0,selamat,3,0,0,0.0,
 seandainya hp gua lebih gede speknya gua juga mau hapus ganti game lain,0,lebih juga mau,13,0,0,0.0,
 sama gw juga,0,gw juga,3,0,0,0.0,
 sabar banget,0,,2,0,0,0.0,
 gw k udah ga tahan,0,gw ga,5,0,0,0.0,
 entahlah bang,1,bang,2,1,1,50.0,ah
 f p bisa nyampe k,0,bisa,5,0,0,0.0,
 merasa bangga,0,,2,0,0,0.0,
 mabar puh tapi aku baru main,0,baru,6,0,0,0.0,
 jp ,0,,1,0,0,0.0,
 ada server kah,0,ada,3,1,0,33.33333333333333,er
 eh,1,,1,0,0,0.0,
 apknya,0,,1,0,0,0.0,
 iyo,0,,1,0,0,0.0,
 ada en sama jp,0,ada,4,0,0,0.0,
 beda,0,,1,0,0,0.0,
 jp,0,,1,0,0,0.0,
 gw kira blm ada en,0,gw ada,5,0,0,0.0,
 hapus aja bang kek aku wkwk,0,aja bang,6,1,0,16.666666666666664,wk
 urh,1,,1,0,0,0.0,
